
Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
147, 0, 11162119, 1041158, 1898066
148, 0, 1095846, 1041527, 1898066
148, 1522553049, 540140173, 1041527, 1898066
149, 0, 1068277, 1041706, 1898066
150, 0, 761597, 1039839, 1898066
150, 0, 11158821, 1039839, 1898066
151, 0, 1092445, 1040187, 1898066
151, 1522553049, 580610970, 1040187, 1898066
152, 0, 1045970, 1040225, 1898066
153, 0, 749289, 1038324, 1898066
153, 0, 11150576, 1038324, 1898066
154, 0, 1084148, 1038621, 1898066
154, 1522553049, 621032602, 1038621, 1898066
155, 0, 1056891, 1038738, 1898066
156, 0, 758544, 1036942, 1898066
156, 0, 11164048, 1036942, 1898066
157, 0, 1099132, 1037338, 1898066
157, 1522553049, 661436629, 1037338, 1898066
158, 0, 1058750, 1037473, 1898066
159, 0, 751496, 1035675, 1898066
159, 0, 11149918, 1035675, 1898066
160, 0, 1090105, 1036015, 1898066
160, 1522553049, 701812480, 1036015, 1898066
161, 0, 1080973, 1036294, 1898066
162, 0, 774969, 1034681, 1898066
162, 0, 11159589, 1034681, 1898066
163, 0, 1092380, 1035034, 1898066
163, 1522553049, 742296819, 1035034, 1898066
164, 0, 1055749, 1035160, 1898066
165, 0, 766411, 1033532, 1898066
165, 0, 11145250, 1033532, 1898066
166, 0, 1083666, 1033834, 1898066
166, 1522553049, 782701992, 1033834, 1898066
167, 0, 1057712, 1033976, 1898066
168, 0, 753011, 1032304, 1898066
168, 0, 11213046, 1032304, 1898066
169, 0, 1132868, 1032899, 1898066
169, 1522553049, 823225966, 1032899, 1898066
170, 0, 1045820, 1032975, 1898066
171, 0, 763307, 1031398, 1898066
171, 0, 11144696, 1031398, 1898066
172, 0, 1082696, 1031696, 1898066
172, 1522553049, 863591765, 1031696, 1898066
173, 0, 1063669, 1031880, 1898066
174, 0, 762873, 1030334, 1898066
174, 0, 11162597, 1030334, 1898066
175, 0, 1103357, 1030751, 1898066
175, 1522553049, 904039490, 1030751, 1898066
176, 0, 1080840, 1031035, 1898066
177, 0, 751711, 1029457, 1898066
177, 0, 11156487, 1029457, 1898066
178, 0, 1095319, 1029827, 1898066
178, 1522553049, 944459663, 1029827, 1898066
179, 0, 1050460, 1029942, 1898066
180, 0, 755029, 1028415, 1898066
180, 0, 11145794, 1028415, 1898066
181, 0, 1084626, 1028725, 1898066
181, 1522553049, 984854420, 1028725, 1898066
182, 0, 1057839, 1028884, 1898066
183, 0, 748763, 1027354, 1898066
183, 0, 11232027, 1027354, 1898066
184, 0, 1178099, 1028173, 1898066
184, 1522553050, 25363602, 1028173, 1898066
185, 0, 1044906, 1028263, 1898066
186, 0, 774111, 1026897, 1898066
186, 0, 11165657, 1026897, 1898066
187, 0, 1105740, 1027318, 1898066
187, 1522553050, 65718724, 1027318, 1898066
188, 0, 1048484, 1027430, 1898066
189, 0, 760761, 1026020, 1898066
189, 0, 11173193, 1026020, 1898066
190, 0, 1113432, 1026480, 1898066
190, 1522553050, 106113949, 1026480, 1898066
191, 0, 1059978, 1026655, 1898066
192, 0, 760224, 1025268, 1898066
192, 0, 11153959, 1025268, 1898066
193, 0, 1093676, 1025622, 1898066
193, 1522553050, 146529279, 1025622, 1898066
194, 0, 1047566, 1025735, 1898066
195, 0, 766458, 1024406, 1898066
195, 0, 11155556, 1024406, 1898066
196, 0, 1095274, 1024767, 1898066
196, 1522553050, 186891744, 1024767, 1898066
197, 0, 1059269, 1024942, 1898066
198, 0, 753473, 1023571, 1898066
198, 0, 11149655, 1023571, 1898066
199, 0, 1095831, 1023934, 1898066
199, 1522553050, 227222699, 1023934, 1898066
200, 0, 1058159, 1024105, 1898066
201, 0, 773040, 1022856, 1898066
201, 0, 11816611, 1022856, 1898066
202, 0, 1708049, 1026248, 1898066
202, 1522553050, 268510468, 1026248, 1898066
203, 0, 1033762, 1026285, 1898066
204, 0, 836271, 1025354, 1898066
204, 0, 11149505, 1025354, 1898066
205, 0, 1117452, 1025803, 1898066
205, 1522553050, 308240101, 1025803, 1898066
206, 0, 1028985, 1025818, 1898066
207, 0, 765674, 1024562, 1898066
207, 0, 12030239, 1024562, 1898066
208, 0, 2240420, 1030407, 2240420
209, 0, 1056506, 1030531, 2240420
210, 0, 767312, 1029278, 2240420
210, 0, 11165333, 1029278, 2240420
211, 0, 1096353, 1029595, 2240420
211, 1522553050, 388991882, 1029595, 2240420
212, 0, 1049185, 1029687, 2240420
213, 0, 763897, 1028440, 2240420
213, 0, 11167647, 1028440, 2240420
214, 0, 1113718, 1028838, 2240420
214, 1522553050, 429549591, 1028838, 2240420
215, 0, 1042540, 1028901, 2240420
216, 0, 760742, 1027660, 2240420
216, 0, 11151315, 1027660, 2240420
217, 0, 1084314, 1027921, 2240420
217, 1522553050, 469946678, 1027921, 2240420
218, 0, 1050427, 1028024, 2240420
219, 0, 768056, 1026837, 2240420
219, 0, 11167378, 1026837, 2240420
220, 0, 1099753, 1027168, 2240420
220, 1522553050, 510354442, 1027168, 2240420
221, 0, 1062793, 1027329, 2240420
222, 0, 768234, 1026162, 2240420
222, 0, 11165057, 1026162, 2240420
223, 0, 1103160, 1026507, 2240420
223, 1522553050, 550755227, 1026507, 2240420
224, 0, 1046305, 1026595, 2240420
225, 0, 753309, 1025381, 2240420
225, 0, 11150288, 1025381, 2240420
226, 0, 1089537, 1025664, 2240420
226, 1522553050, 591155647, 1025664, 2240420
227, 0, 1044296, 1025746, 2240420
228, 0, 747863, 1024528, 2240420
228, 0, 11159789, 1024528, 2240420
229, 0, 1097319, 1024845, 2240420
229, 1522553050, 631635962, 1024845, 2240420
230, 0, 1055881, 1024979, 2240420
231, 0, 767728, 1023866, 2240420
231, 0, 11154603, 1023866, 2240420
232, 0, 1092082, 1024160, 2240420
232, 1522553050, 672052788, 1024160, 2240420
233, 0, 1068975, 1024352, 2240420
234, 0, 754001, 1023197, 2240420
234, 0, 11142751, 1023197, 2240420
235, 0, 1079344, 1023435, 2240420
235, 1522553050, 712450448, 1023435, 2240420
236, 0, 1042644, 1023516, 2240420
237, 0, 816210, 1022642, 2240420
237, 0, 11157148, 1022642, 2240420
238, 0, 1094678, 1022944, 2240420
238, 1522553050, 752880556, 1022944, 2240420
239, 0, 1125164, 1023371, 2240420
240, 0, 745087, 1022212, 2240420
240, 0, 11180972, 1022212, 2240420
241, 0, 1120429, 1022619, 2240420
241, 1522553050, 793340350, 1022619, 2240420
242, 0, 1042221, 1022700, 2240420
243, 0, 763130, 1021632, 2240420
243, 0, 11142714, 1021632, 2240420
244, 0, 1087483, 1021901, 2240420
244, 1522553050, 833698896, 1021901, 2240420
245, 0, 1048909, 1022011, 2240420
246, 0, 756434, 1020932, 2240420
246, 0, 11167788, 1020932, 2240420
247, 0, 1105318, 1021273, 2240420
247, 1522553050, 874149628, 1021273, 2240420
248, 0, 1035442, 1021330, 2240420
249, 0, 742758, 1020212, 2240420
249, 0, 11152395, 1020212, 2240420
250, 0, 1090705, 1020493, 2240420
250, 1522553050, 914571089, 1020493, 2240420
251, 0, 1050047, 1020610, 2240420
252, 0, 754708, 1019555, 2240420
252, 0, 11151114, 1019555, 2240420
253, 0, 1089062, 1019829, 2240420
253, 1522553050, 954960104, 1019829, 2240420
254, 0, 1038976, 1019904, 2240420
255, 0, 763949, 1018901, 2240420
255, 0, 11139106, 1018901, 2240420
256, 0, 1078094, 1019132, 2240420
256, 1522553050, 995338233, 1019132, 2240420
257, 0, 1050353, 1019253, 2240420
258, 0, 744285, 1018188, 2240420
258, 0, 11139545, 1018188, 2240420
259, 0, 1077753, 1018417, 2240420
259, 1522553051, 35743497, 1018417, 2240420
260, 0, 1046157, 1018523, 2240420
261, 0, 746755, 1017482, 2240420
261, 0, 11150088, 1017482, 2240420
262, 0, 1089911, 1017758, 2240420
262, 1522553051, 76173188, 1017758, 2240420
263, 0, 1044929, 1017861, 2240420
264, 0, 739955, 1016809, 2240420
264, 0, 11110685, 1016809, 2240420
265, 0, 1051079, 1016938, 2240420
265, 1522553051, 116777301, 1016938, 2240420
266, 0, 992870, 1016848, 2240420
267, 0, 775966, 1015946, 2240420
267, 0, 11080395, 1015946, 2240420
268, 0, 1018915, 1015957, 2240420
268, 1522553051, 156828771, 1015957, 2240420
269, 0, 1076745, 1016182, 2240420
270, 0, 748021, 1015189, 2240420
270, 0, 11067762, 1015189, 2240420
271, 0, 1004979, 1015152, 2240420
271, 1522553051, 197546633, 1015152, 2240420
272, 0, 1351657, 1016389, 2240420
273, 0, 747939, 1015406, 2240420
273, 0, 11104502, 1015406, 2240420
274, 0, 1043647, 1015509, 2240420
274, 1522553051, 237953824, 1015509, 2240420
275, 0, 1051009, 1015638, 2240420
276, 0, 736503, 1014627, 2240420
276, 0, 11403829, 1014627, 2240420
277, 0, 1350108, 1015838, 2240420
277, 1522553051, 278507103, 1015838, 2240420
278, 0, 1043563, 1015937, 2240420
279, 0, 756380, 1015007, 2240420
279, 0, 11182512, 1015007, 2240420
280, 0, 1139678, 1015452, 2240420
280, 1522553051, 318710250, 1015452, 2240420
281, 0, 1007944, 1015426, 2240420
282, 0, 746318, 1014472, 2240420
