Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,
0,0,0,437585,0,0,,,
0,0,0,477349,0,0,,,
0,0,0,439092,0,0,,,
0,0,0,437605,0,0,,,
0,0,0,441848,0,0,,,
0,0,0,462914,0,0,,,
0,0,0,434084,0,0,,,
0,0,0,434265,0,0,,,
0,0,0,444602,0,0,,,
0,0,0,436709,0,0,,,
0,0,0,453243,0,0,,,
0,0,0,436601,0,0,,,
0,0,0,445999,0,0,,,
0,0,0,439670,0,0,,,
0,0,0,436314,0,0,,,
0,0,0,436826,0,0,,,
0,0,0,446924,0,0,,,
0,0,0,460298,0,0,,,
0,0,0,443886,0,0,,,
0,0,0,435077,0,0,,,
0,0,0,435383,0,0,,,
0,0,0,439179,0,0,,,
0,0,0,444902,0,0,,,
0,0,0,466667,0,0,,,
0,0,0,444056,0,0,,,
0,0,0,441185,0,0,,,
0,0,0,441543,0,0,,,
0,0,0,445912,0,0,,,
0,0,0,454031,0,0,,,
0,0,0,466941,0,0,,,
0,0,0,439018,0,0,,,
0,0,0,435626,0,0,,,
0,0,0,441088,0,0,,,
0,0,0,443947,0,0,,,
0,0,0,469461,0,0,,,
0,0,0,444872,0,0,,,
0,0,0,439710,0,0,,,
0,0,0,444078,0,0,,,
0,0,0,449853,0,0,,,
0,0,0,454795,0,0,,,
0,0,0,457600,0,0,,,
0,0,0,435980,0,0,,,
0,0,0,441234,0,0,,,
0,0,0,434561,0,0,,,
0,0,0,442575,0,0,,,
0,0,0,459965,0,0,,,
0,0,0,525167,0,0,,,
0,0,0,470004,0,0,,,
0,0,0,446613,0,0,,,
0,0,0,434940,0,0,,,
0,0,0,455558,0,0,,,
0,0,0,456385,0,0,,,
0,0,0,446432,0,0,,,
0,0,0,436790,0,0,,,
0,0,0,442043,0,0,,,
0,0,0,439120,0,0,,,
0,0,0,445677,0,0,,,
0,0,0,448848,0,0,,,
0,0,0,462071,0,0,,,
0,0,0,441387,0,0,,,
0,0,0,440599,0,0,,,
0,0,0,438197,0,0,,,
0,0,0,442097,0,0,,,
0,0,0,442716,0,0,,,
0,0,0,461824,0,0,,,
0,0,0,456088,0,0,,,
0,0,0,448791,0,0,,,
0,0,0,453055,0,0,,,
0,0,0,443101,0,0,,,
0,0,0,437782,0,0,,,
0,0,0,449130,0,0,,,
0,0,0,455842,0,0,,,
0,0,0,447243,0,0,,,
0,0,0,436924,0,0,,,
0,0,0,441084,0,0,,,
0,0,0,442223,0,0,,,
0,0,0,443311,0,0,,,
0,0,0,463044,0,0,,,
0,0,0,447101,0,0,,,
0,0,0,436834,0,0,,,
0,0,0,435994,0,0,,,
0,0,0,435623,0,0,,,
0,0,0,445512,0,0,,,
0,0,0,463579,0,0,,,
0,0,0,439927,0,0,,,
0,0,0,439869,0,0,,,
0,0,0,442779,0,0,,,
0,0,0,441418,0,0,,,
0,0,0,443339,0,0,,,
0,0,0,450572,0,0,,,
0,0,0,443379,0,0,,,
0,0,0,436446,0,0,,,
0,0,0,436439,0,0,,,
0,0,0,434661,0,0,,,
0,0,0,457260,0,0,,,
0,0,0,454076,0,0,,,
0,0,0,436883,0,0,,,
0,0,0,438075,0,0,,,
0,0,0,436818,0,0,,,
0,0,0,436082,0,0,,,
0,0,0,456962,0,0,,,
0,0,0,436173,0,0,,,
0,0,0,439240,0,0,,,
0,0,0,434911,0,0,,,
0,0,0,435895,0,0,,,
0,0,0,444690,0,0,,,
0,0,0,457235,0,0,,,
0,0,0,437542,0,0,,,
0,0,0,432484,0,0,,,
0,0,0,433467,0,0,,,
0,0,0,434554,0,0,,,
0,0,0,457309,0,0,,,
0,0,0,464490,0,0,,,
0,0,0,438732,0,0,,,
0,0,0,435016,0,0,,,
0,0,0,436817,0,0,,,
0,0,0,440699,0,0,,,
0,0,0,460624,0,0,,,
0,0,0,459560,0,0,,,
0,0,0,439172,0,0,,,
0,0,0,437951,0,0,,,
0,0,0,438449,0,0,,,
0,0,0,440769,0,0,,,
0,0,0,452829,0,0,,,
0,0,0,457128,0,0,,,
0,0,0,444918,0,0,,,
0,0,0,439425,0,0,,,
0,0,0,444090,0,0,,,
0,0,0,441827,0,0,,,
0,0,0,464772,0,0,,,
0,0,0,442353,0,0,,,
0,0,0,438111,0,0,,,
0,0,0,438139,0,0,,,
0,0,0,438689,0,0,,,
0,0,0,453040,0,0,,,
0,0,0,454945,0,0,,,
0,0,0,450963,0,0,,,
0,0,0,443596,0,0,,,
0,0,0,438104,0,0,,,
0,0,0,440529,0,0,,,
0,0,0,444203,0,0,,,
0,0,0,458346,0,0,,,
0,0,0,433010,0,0,,,
0,0,0,437987,0,0,,,
0,0,0,432078,0,0,,,
0,0,0,442940,0,0,,,
0,0,0,460157,0,0,,,
0,0,0,466592,0,0,,,
0,0,0,432610,0,0,,,
0,0,0,506596,0,0,,,
0,0,0,465272,0,0,,,
0,0,0,437384,0,0,,,
0,0,0,432673,0,0,,,
0,0,0,436504,0,0,,,
0,0,0,440491,0,0,,,
0,0,0,440676,0,0,,,
0,0,0,454819,0,0,,,
0,0,0,466827,0,0,,,
0,0,0,431283,0,0,,,
0,0,0,433238,0,0,,,
0,0,0,431236,0,0,,,
0,0,0,437671,0,0,,,
0,0,0,457231,0,0,,,
0,0,0,436739,0,0,,,
0,0,0,432236,0,0,,,
0,0,0,437005,0,0,,,
0,0,0,441982,0,0,,,
0,0,0,440448,0,0,,,
0,0,0,461362,0,0,,,
0,0,0,439099,0,0,,,
0,0,0,436889,0,0,,,
0,0,0,431500,0,0,,,
0,0,0,432415,0,0,,,
0,0,0,433120,0,0,,,
0,0,0,458618,0,0,,,
0,0,0,436824,0,0,,,
0,0,0,439353,0,0,,,
0,0,0,441881,0,0,,,
0,0,0,432379,0,0,,,
0,0,0,432303,0,0,,,
0,0,0,445666,0,0,,,
0,0,0,467153,0,0,,,
0,0,0,435984,0,0,,,
0,0,0,433825,0,0,,,
0,0,0,431770,0,0,,,
0,0,0,433049,0,0,,,
0,0,0,437401,0,0,,,
0,0,0,451023,0,0,,,
0,0,0,433344,0,0,,,
0,0,0,431602,0,0,,,
0,0,0,431474,0,0,,,
0,0,0,430461,0,0,,,
0,0,0,440698,0,0,,,
0,0,0,452862,0,0,,,
0,0,0,431746,0,0,,,
0,0,0,499586,0,0,,,
0,0,0,439147,0,0,,,
0,0,0,433499,0,0,,,
0,0,0,438318,0,0,,,
0,0,0,456733,0,0,,,
0,0,0,434834,0,0,,,
0,0,0,442155,0,0,,,
0,0,0,431766,0,0,,,
0,0,0,430858,0,0,,,
0,0,0,443387,0,0,,,
0,0,0,462739,0,0,,,
0,0,0,432090,0,0,,,
0,0,0,431286,0,0,,,
0,0,0,431366,0,0,,,
0,0,0,429729,0,0,,,
0,0,0,452570,0,0,,,
0,0,0,463641,0,0,,,
0,0,0,450932,0,0,,,
0,0,0,437961,0,0,,,
0,0,0,441344,0,0,,,
0,0,0,451341,0,0,,,
0,0,0,438734,0,0,,,
0,0,0,457690,0,0,,,
0,0,0,464250,0,0,,,
0,0,0,438779,0,0,,,
0,0,0,432006,0,0,,,
0,0,0,436327,0,0,,,
0,0,0,445699,0,0,,,
0,0,0,458457,0,0,,,
0,0,0,431944,0,0,,,
0,0,0,441160,0,0,,,
0,0,0,444595,0,0,,,
0,0,0,437927,0,0,,,
0,0,0,450477,0,0,,,
0,0,0,456723,0,0,,,
0,0,0,433909,0,0,,,
0,0,0,443802,0,0,,,
0,0,0,429789,0,0,,,
0,0,0,442235,0,0,,,
0,0,0,465826,0,0,,,
0,0,0,436188,0,0,,,
0,0,0,433321,0,0,,,
0,0,0,434673,0,0,,,
0,0,0,436545,0,0,,,
0,0,0,448887,0,0,,,
0,0,0,449353,0,0,,,
0,0,0,427528,0,0,,,
0,0,0,435807,0,0,,,
0,0,0,430024,0,0,,,
0,0,0,438250,0,0,,,
0,0,0,441529,0,0,,,
0,0,0,454807,0,0,,,
0,0,0,447253,0,0,,,
0,0,0,428761,0,0,,,
0,0,0,435426,0,0,,,
0,0,0,440684,0,0,,,
0,0,0,428129,0,0,,,
0,0,0,434116,0,0,,,
0,0,0,462603,0,0,,,
0,0,0,429476,0,0,,,
0,0,0,429995,0,0,,,
0,0,0,431867,0,0,,,
0,0,0,439312,0,0,,,
0,0,0,430404,0,0,,,
0,0,0,449360,0,0,,,
0,0,0,448680,0,0,,,
0,0,0,434823,0,0,,,
0,0,0,431123,0,0,,,
0,0,0,429194,0,0,,,
0,0,0,434504,0,0,,,
0,0,0,456428,0,0,,,
0,0,0,439551,0,0,,,
0,0,0,431216,0,0,,,
0,0,0,430900,0,0,,,
0,0,0,429804,0,0,,,
0,0,0,440999,0,0,,,
0,0,0,457977,0,0,,,
0,0,0,433911,0,0,,,
0,0,0,427138,0,0,,,
0,0,0,435729,0,0,,,
0,0,0,429009,0,0,,,
0,0,0,439423,0,0,,,
0,0,0,443847,0,0,,,
0,0,0,427908,0,0,,,
0,0,0,430926,0,0,,,
0,0,0,428736,0,0,,,
0,0,0,428213,0,0,,,
0,0,0,448627,0,0,,,
0,0,0,447739,0,0,,,
0,0,0,427736,0,0,,,
0,0,0,433620,0,0,,,
0,0,0,427784,0,0,,,
0,0,0,430282,0,0,,,
0,0,0,454029,0,0,,,
0,0,0,431214,0,0,,,
0,0,0,431264,0,0,,,
0,0,0,430949,0,0,,,
0,0,0,432248,0,0,,,
0,0,0,428913,0,0,,,
0,0,0,450577,0,0,,,
0,0,0,449012,0,0,,,
0,0,0,429583,0,0,,,
0,0,0,428695,0,0,,,
0,0,0,470932,0,0,,,
0,0,0,431815,0,0,,,
0,0,0,430250,0,0,,,
0,0,0,430196,0,0,,,
0,0,0,431339,0,0,,,
0,0,0,452117,0,0,,,
0,0,0,433209,0,0,,,
0,0,0,434873,0,0,,,
0,0,0,430548,0,0,,,
0,0,0,429556,0,0,,,
0,0,0,447627,0,0,,,
0,0,0,466686,0,0,,,
0,0,0,436477,0,0,,,
0,0,0,430318,0,0,,,
0,0,0,434662,0,0,,,
0,0,0,438854,0,0,,,
0,0,0,442475,0,0,,,
0,0,0,457759,0,0,,,
0,0,0,440546,0,0,,,
0,0,0,434946,0,0,,,
0,0,0,432524,0,0,,,
0,0,0,429476,0,0,,,
0,0,0,450648,0,0,,,
0,0,0,454059,0,0,,,
0,0,0,432521,0,0,,,
0,0,0,436140,0,0,,,
0,0,0,436895,0,0,,,
0,0,0,441035,0,0,,,
0,0,0,455643,0,0,,,
0,0,0,429679,0,0,,,
0,0,0,433403,0,0,,,
0,0,0,434261,0,0,,,
0,0,0,432099,0,0,,,
0,0,0,431291,0,0,,,
0,0,0,460379,0,0,,,
0,0,0,434258,0,0,,,
0,0,0,436419,0,0,,,
0,0,0,430247,0,0,,,
0,0,0,428241,0,0,,,
0,0,0,435037,0,0,,,
0,0,0,448239,0,0,,,
0,0,0,446078,0,0,,,
0,0,0,433290,0,0,,,
0,0,0,431961,0,0,,,
0,0,0,427039,0,0,,,
0,0,0,435450,0,0,,,
0,0,0,490996,0,0,,,
0,0,0,451490,0,0,,,
0,0,0,448755,0,0,,,
0,0,0,436592,0,0,,,
0,0,0,434170,0,0,,,
0,0,0,432165,0,0,,,
0,0,0,429638,0,0,,,
0,0,0,430757,0,0,,,
0,0,0,460938,0,0,,,
0,0,0,450755,0,0,,,
0,0,0,434843,0,0,,,
0,0,0,433306,0,0,,,
0,0,0,438279,0,0,,,
0,0,0,428930,0,0,,,
0,0,0,439841,0,0,,,
0,0,0,456116,0,0,,,
0,0,0,438641,0,0,,,
0,0,0,432625,0,0,,,
0,0,0,427807,0,0,,,
0,0,0,429186,0,0,,,
0,0,0,434837,0,0,,,
0,0,0,458351,0,0,,,
0,0,0,429106,0,0,,,
0,0,0,428506,0,0,,,
0,0,0,429470,0,0,,,
0,0,0,433869,0,0,,,
0,0,0,435197,0,0,,,
0,0,0,448399,0,0,,,
0,0,0,433789,0,0,,,
0,0,0,432721,0,0,,,
0,0,0,429986,0,0,,,
0,0,0,432563,0,0,,,
0,0,0,441130,0,0,,,
0,0,0,451052,0,0,,,
0,0,0,430609,0,0,,,
0,0,0,430269,0,0,,,
0,0,0,431284,0,0,,,
0,0,0,429903,0,0,,,
0,0,0,444616,0,0,,,
0,0,0,454381,0,0,,,
0,0,0,433208,0,0,,,
0,0,0,428286,0,0,,,
0,0,0,430499,0,0,,,
0,0,0,429222,0,0,,,
0,0,0,439820,0,0,,,
0,0,0,457658,0,0,,,
0,0,0,431746,0,0,,,
0,0,0,429011,0,0,,,
0,0,0,429192,0,0,,,
0,0,0,429687,0,0,,,
0,0,0,446951,0,0,,,
0,0,0,455206,0,0,,,
0,0,0,430596,0,0,,,
0,0,0,430569,0,0,,,
0,0,0,429865,0,0,,,
0,0,0,439526,0,0,,,
0,0,0,470697,0,0,,,
0,0,0,437754,0,0,,,
0,0,0,444759,0,0,,,
0,0,0,439107,0,0,,,
0,0,0,433872,0,0,,,
0,0,0,449835,0,0,,,
0,0,0,458037,0,0,,,
0,0,0,435042,0,0,,,
0,0,0,443088,0,0,,,
0,0,0,436184,0,0,,,
0,0,0,429345,0,0,,,
0,0,0,437003,0,0,,,
0,0,0,460699,0,0,,,
0,0,0,460590,0,0,,,
0,0,0,432360,0,0,,,
0,0,0,433608,0,0,,,
0,0,0,434387,0,0,,,
