Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,,
0,0,0,475882,0,0,,,,
0,0,0,408298,0,0,,,,
0,0,0,409361,0,0,,,,
0,0,0,407819,0,0,,,,
0,0,0,406849,0,0,,,,
0,0,0,426348,0,0,,,,
0,0,0,423557,0,0,,,,
0,0,0,408994,0,0,,,,
0,0,0,414535,0,0,,,,
0,0,0,414399,0,0,,,,
0,0,0,432128,0,0,,,,
0,0,0,429335,0,0,,,,
0,0,0,416856,0,0,,,,
0,0,0,409429,0,0,,,,
0,0,0,418772,0,0,,,,
0,0,0,519468,0,0,,,,
0,0,0,448499,0,0,,,,
0,0,0,448624,0,0,,,,
0,0,0,517393,0,0,,,,
0,0,0,602882,0,0,,,,
0,0,0,463371,0,0,,,,
0,0,0,454432,0,0,,,,
0,0,0,454296,0,0,,,,
0,0,0,445306,0,0,,,,
0,0,0,436681,0,0,,,,
0,0,0,442795,0,0,,,,
0,0,0,452450,0,0,,,,
0,0,0,440648,0,0,,,,
0,0,0,437647,0,0,,,,
0,0,0,446782,0,0,,,,
0,0,0,439354,0,0,,,,
0,0,0,452030,0,0,,,,
0,0,0,452467,0,0,,,,
0,0,0,443581,0,0,,,,
0,0,0,445008,0,0,,,,
0,0,0,468413,0,0,,,,
0,0,0,410673,0,0,,,,
0,0,0,418090,0,0,,,,
0,0,0,412121,0,0,,,,
0,0,0,405474,0,0,,,,
0,0,0,417369,0,0,,,,
0,0,0,432234,0,0,,,,
0,0,0,422775,0,0,,,,
0,0,0,404149,0,0,,,,
0,0,0,404065,0,0,,,,
0,0,0,402158,0,0,,,,
0,0,0,430981,0,0,,,,
0,0,0,421418,0,0,,,,
0,0,0,404564,0,0,,,,
0,0,0,410521,0,0,,,,
0,0,0,482572,0,0,,,,
0,0,0,410667,0,0,,,,
0,0,0,465582,0,0,,,,
0,0,0,427842,0,0,,,,
0,0,0,454268,0,0,,,,
0,0,0,499965,0,0,,,,
0,0,0,542485,0,0,,,,
0,0,0,490109,0,0,,,,
0,0,0,456588,0,0,,,,
0,0,0,446452,0,0,,,,
0,0,0,488346,0,0,,,,
0,0,0,477079,0,0,,,,
0,0,0,495389,0,0,,,,
0,0,0,475566,0,0,,,,
0,0,0,441628,0,0,,,,
0,0,0,436491,0,0,,,,
0,0,0,455833,0,0,,,,
0,0,0,450332,0,0,,,,
0,0,0,471445,0,0,,,,
0,0,0,453288,0,0,,,,
0,0,0,456641,0,0,,,,
0,0,0,442859,0,0,,,,
